語句,読み,意味,語源等解説,関連語,関連分野,難易度
lose,ル́ーズ,失う・負ける,"古英語 ""losian""。派生: loss(ロ́ス): 損失 / loser(ル́ーザー): 敗者","miss(ミ́ス): 逃す, win(ウィ́ン): 勝つ",運動・娯楽,beginner
lost,Lost,道に迷った、失われた,,,食・健康,intermediate
lot,ロ́ット,多量・くじ,"古英語 ""hlot""(くじ)。派生: a lot of(アロ́ットオブ): たくさんの / lottery(ロ́タリ): 宝くじ","much(マ́ッチ): 多くの, many(メ́ニ): 多数の",時間・数量,beginner
loud,ラ́ウド,大きな声の,"古英語 ""hlūd""。派生: loudly(ラ́ウドリ): 大声で / loudspeaker(ラ́ウドスピーカー): 拡声器","noisy(ノ́イズィ): うるさい, quiet(クワ́イエット): 静かな",人・社会,beginner
love,ラ́ヴ,愛する・愛,"古英語 ""lufu""。派生: lovely(ラ́ヴリ): 素敵な / lover(ラ́ヴァー): 恋人","like(ラ́イク): 好む, affection(アフェ́クション): 愛情",人・社会,beginner
lovely,Lovely,素敵な,,,人・社会,intermediate
low,ロ́ウ,低い,"古ノルド語 ""lagr""。派生: lower(ロ́ウアー): より低い / lowland(ロ́ウランド): 低地","short(ショ́ート): 低い, high(ハ́イ): 高い",人・社会,beginner
luck,ラ́ック,運,"中英語 ""luc""(偶然)。派生: lucky(ラ́ッキー): 運のよい / luckily(ラ́ッキリ): 幸運にも","fortune(フォ́ーチュン): 幸運, chance(チャ́ンス): 機会",人・社会,beginner
lucky,Lucky,幸運な,,,人・社会,intermediate
lunch,ラ́ンチ,昼食,"スペイン語 ""lonja""(スライス)起源説。派生: lunchtime(ラ́ンチタイム): 昼食時 / lunch box(ラ́ンチボックス): 弁当箱","breakfast(ブレ́ックファスト): 朝食, dinner(ディ́ナー): 夕食",時間・数量,beginner
machine,マシ́ーン,機械,"ラテン語 ""machina""。派生: machinery(マシ́ーナリ): 機械類 / machinist(マシ́ーニスト): 機械工","device(ディヴァ́イス): 装置, tool(トゥ́ール): 道具",科学・技術,intermediate
magazine,マガジ́ーン,雑誌,"アラビア語 ""makhazin""(倉庫)。派生: magazine rack(マガジ́ーンラック): 雑誌立て / fashion magazine(ファ́ッションマガジーン): ファッション誌","journal(ジャ́ーナル): 雑誌, newspaper(ニ́ューズペーパー): 新聞",人・社会,beginner
main,メ́イン,主要な,"古英語 ""mægen""(力)。派生: mainly(メ́インリ): 主に / mainstream(メ́インストリーム): 主流","chief(チ́ーフ): 主要な, primary(プラ́イマリ): 第一の",人・社会,beginner
major,メ́イジャー,主要な・専攻,"ラテン語 ""major""(より大きい)。派生: majority(マジョ́リティ): 多数 / major in(メ́イジャーイン): 〜を専攻する","important(インポ́ータント): 重要な, minor(マ́イナー): 小さい",人・社会,intermediate
make,メ́イク,作る・〜させる,"古英語 ""macian""。派生: maker(メ́イカー): 製作者 / make up(メ́イクアッ́プ): 構成する","create(クリエ́イト): 創造する, produce(プロデュ́ース): 生産する",人・社会,beginner
man,マ́ン,男性・人,"古英語 ""mann""(人)。派生: mankind(マンカインド): 人類 / manly(マンリ): 男らしい","woman(ウーマン): 女性, person(パーソン): 人, human(ヒューマン): 人間",人・社会,beginner
manage,マ́ネージ,管理する・何とかやる,"イタリア語 ""maneggiare""(扱う)。派生: manager(マ́ネージャー): 管理者 / management(マ́ネージメント): 経営","control(コントロ́ール): 制御する, handle(ハ́ンドル): 扱う",時間・数量,intermediate
manager,Manager,managする人,,,人・社会,intermediate
many,Many,多くの,,,食・健康,intermediate
map,マ́ップ,地図,"ラテン語 ""mappa""(布)。派生: mapping(マ́ッピング): 地図作成 / road map(ロ́ウドマップ): 道路地図","chart(チャ́ート): 図表, guide(ガ́イド): 案内",人・社会,beginner
march,マ́ーチ,行進する・3月,"ラテン語 ""Martius""(軍神マルスの月)。派生: marcher(マ́ーチャー): 行進者 / marching(マ́ーチング): 行進","walk(ウォ́ーク): 歩く, parade(パレ́イド): パレード",時間・数量,beginner
marker,Marker,markする人,,,人・社会,intermediate
market,マ́ーケット,市場,"ラテン語 ""mercatus""(取引)。派生: marketing(マ́ーケティング): 市場調査 / supermarket(ス́ーパーマーケット): スーパーマーケット","shop(ショ́ップ): 店, store(スト́ア): 商店",場所・移動,beginner
marry,マ́リー,結婚する,"ラテン語 ""maritare""。派生: marriage(マ́リッジ): 結婚 / married(マ́リード): 既婚の","wed(ウェ́ッド): 結婚する, divorce(ディヴォ́ース): 離婚する",人・社会,beginner
match,Match,試合、マッチ,,,食・健康,intermediate
material,マティ́アリアル,材料・物質的な,"ラテン語 ""materia""(物質)。派生: materialize(マティ́アリアライズ): 実現する / raw material(ロ́ーマティアリアル): 原材料","substance(サ́ブスタンス): 物質, matter(マ́ター): 物質",日常生活,intermediate
math,Math,数学,,,食・健康,intermediate
matter,マ́ター,問題・重要である,"ラテン語 ""materia""。派生: what's the matter(ワッツザマ́ター): どうしたの / no matter(ノ́ウマター): 〜にかかわらず","issue(イ́シュー): 問題, thing(スィ́ング): 事",学校・学習,beginner
may,メ́イ,〜かもしれない・〜してよい,"古英語 ""mæg""(できる)。派生: maybe(メ́イビー): たぶん / May Day(メ́イデイ): メーデー","might(マ́イト): 〜かもしれない, can(キャ́ン): 〜できる",時間・数量,beginner
maybe,Maybe,たぶん,,,食・健康,intermediate
me,ミ́ー,私を・私に,Iの目的格。派生: with me(ウィズミー): 私と一緒に,"I(アイ): 私は, my(マイ): 私の, myself(マイセルフ): 私自身",言語基本,beginner
meal,ミ́ール,食事,"古英語 ""mǣl""(時間)。派生: mealtime(ミ́ールタイム): 食事時 / three meals(スリ́ーミールズ): 三食","food(フ́ード): 食べ物, dinner(ディ́ナー): 夕食",食・健康,beginner
mean,ミ́ーン,意味する・意地悪な,"古英語 ""mǣnan""(意図する)。派生: meaning(ミ́ーニング): 意味 / meaningful(ミ́ーニングフル): 意義のある","signify(シ́グニファイ): 意味する, cruel(クル́ーエル): 残酷な",食・健康,beginner
meaning,Meaning,意味,,,食・健康,intermediate
meat,ミ́ート,肉,"古英語 ""mete""(食べ物)。派生: meatball(ミ́ートボール): 肉団子 / red meat(レ́ッドミート): 赤身肉","beef(ビ́ーフ): 牛肉, pork(ポ́ーク): 豚肉",食・健康,beginner
medicine,メ́ディスン,薬・医学,"ラテン語 ""medicina""。派生: medical(メ́ディカル): 医学の / medicinal(メディ́シナル): 薬効のある","drug(ドラ́グ): 薬, doctor(ド́クター): 医者",食・健康,beginner
medium,Medium,中間の、媒体,,,食・健康,intermediate
meet,ミ́ート,会う・出会う,"古英語 ""mētan""。派生: meeting(ミ́ーティング): 会議 / meet with(ミ́ートウィズ): 〜に会う","encounter(エンカ́ウンター): 出会う, see(スィ́ー): 会う",人・社会,beginner
meeting,Meeting,会議,,,食・健康,intermediate
melon,Melon,メロン,,,食・健康,intermediate
member,メ́ンバー,会員・一員,"ラテン語 ""membrum""(部分)。派生: membership(メ́ンバーシップ): 会員資格 / family member(ファ́ミリメンバー): 家族","participant(パーティ́シパント): 参加者, part(パ́ート): 部分",人・社会,beginner
memory,メ́モリ,記憶,"ラテン語 ""memoria""。派生: memorial(メモ́ーリアル): 記念の / memorize(メ́モライズ): 暗記する","remember(リメ́ンバー): 思い出す, forget(フォゲ́ット): 忘れる",学校・学習,beginner
menu,Menu,メニュー,,,食・健康,intermediate
message,メ́セージ,伝言・メッセージ,"ラテン語 ""missus""(送られたもの)。派生: messenger(メ́センジャー): 使者 / text message(テ́クストメセージ): 文字メッセージ","note(ノ́ウト): メモ, communication(コミュニケ́イション): 伝達",人・社会,beginner
meter,Meter,metする人,,,人・社会,intermediate
method,メ́ソッド,方法,"ギリシャ語 ""methodos""(追跡)。派生: methodical(メソ́ディカル): 系統的な / methodology(メソドロ́ジー): 方法論","way(ウェ́イ): 方法, system(シ́ステム): 体系",人・社会,intermediate
middle,ミ́ドル,真ん中・中間の,"古英語 ""middel""。派生: midnight(ミ́ッドナイト): 真夜中 / Middle Ages(ミ́ドルエイジズ): 中世","center(セ́ンター): 中心, between(ビトゥイ́ーン): 間に",場所・移動,beginner
midnight,Midnight,真夜中,,,食・健康,intermediate
might,マ́イト,〜かもしれない・力,"古英語 ""meaht""(力)。派生: mighty(マ́イティ): 強力な / with all one's might(ウィズオ́ールワンズマイト): 力いっぱい","may(メ́イ): 〜かもしれない, power(パ́ワー): 力",科学・技術,beginner
milk,ミ́ルク,牛乳,"古英語 ""meolc""。派生: milkshake(ミ́ルクシェイク): ミルクセーキ / milky(ミ́ルキー): 乳白色の","dairy(デ́アリ): 乳製品, cream(クリ́ーム): クリーム",自然・環境,beginner
million,ミ́リオン,100万,"イタリア語 ""milione""。派生: millionaire(ミリオネ́ア): 百万長者 / millions of(ミ́リオンズオブ): 何百万もの","thousand(サ́ウザンド): 千, billion(ビ́リオン): 10億",人・社会,beginner
mind,マ́インド,心・気にする,"古英語 ""gemynd""(記憶)。派生: remind(リマ́インド): 思い出させる / mindful(マ́インドフル): 注意深い","brain(ブレ́イン): 脳, care(ケ́ア): 気にする",人・社会,beginner
mine,マ́イン,私のもの・鉱山,"古英語 ""mīn"" / ラテン語 ""mina""(鉱山)。派生: miner(マ́イナー): 鉱夫 / mining(マ́イニング): 採掘","coal(コ́ウル): 石炭, dig(ディ́グ): 掘る",自然・環境,beginner
minute,ミ́ニット,分・微小な,"ラテン語 ""minutus""(小さい)。派生: last-minute(ラ́ストミニット): 土壇場の / minute hand(ミ́ニットハンド): 分針","moment(モ́ウメント): 瞬間, tiny(タ́イニ): 極小の",時間・数量,beginner
mirror,ミ́ラー,鏡,"ラテン語 ""mirari""(見る)。派生: rearview mirror(リ́アビューミラー): バックミラー / mirror image(ミ́ライメージ): 鏡像","reflect(リフレ́クト): 反射する, glass(グラ́ス): ガラス",日常生活,beginner
miss,ミ́ス,〜がいなくて寂しい・逃す,"古英語 ""missan""。派生: missing(ミ́シング): 行方不明の / Miss(ミ́ス): 〜さん(未婚女性)","lose(ル́ーズ): 失う, long for(ロ́ングフォー): 恋しく思う",人・社会,beginner
mistake,ミステ́イク,間違い・誤解する,"古ノルド語 ""mistaka""(誤って取る)。派生: mistaken(ミステ́イクン): 間違った / by mistake(バイミステ́イク): 間違って","error(エ́ラー): 誤り, fault(フォ́ールト): 過失",人・社会,beginner
mix,ミ́ックス,混ぜる・混合,"ラテン語 ""miscere""。派生: mixture(ミ́クスチャー): 混合物 / mixed(ミ́クスト): 混合の","blend(ブレ́ンド): 混ぜる, combine(コンバ́イン): 結合する",人・社会,beginner
mobile,Mobile,携帯の、動く,,,食・健康,intermediate
modern,モ́ダーン,現代の,"ラテン語 ""modernus""。派生: modernize(モ́ダナイズ): 近代化する / modernization(モダナイゼ́イション): 現代化","contemporary(コンテンポ́ラリ): 現代の, ancient(エ́インシェント): 古代の",人・社会,intermediate
mom,Mom,ママ、お母さん,,,食・健康,intermediate
moment,モ́ウメント,瞬間,"ラテン語 ""momentum""(動き)。派生: momentary(モ́ウメンタリ): 瞬間的な / at the moment(アットザモ́ウメント): 今のところ","instant(イ́ンスタント): 瞬間, second(セ́カンド): 秒",時間・数量,beginner
Monday,Monday,月曜日,,,時間・数量,intermediate
money,マ́ニ,お金,"ラテン語 ""moneta""(造幣所)。派生: monetary(マ́ネタリ): 金銭の / money order(マ́ニオーダー): 為替","cash(キャ́ッシュ): 現金, currency(カ́レンシ): 通貨",人・社会,beginner
monkey,Monkey,サル,,,食・健康,intermediate
month,マ́ンス,月,"古英語 ""mōnath""(月)。派生: monthly(マ́ンスリ): 毎月の / this month(ジ́スマンス): 今月","year(イ́ヤー): 年, week(ウィ́ーク): 週",時間・数量,beginner
moon,ム́ーン,月,"古英語 ""mōna""。派生: moonlight(ム́ーンライト): 月光 / full moon(フ́ルムーン): 満月","sun(サ́ン): 太陽, star(スタ́ー): 星",時間・数量,beginner
more,モ́ア,もっと多く,"古英語 ""māra""。派生: moreover(モアオ́ーヴァー): さらに / no more(ノ́ウモア): もはや〜ない","additional(アディ́ショナル): 追加の, less(レ́ス): より少ない",人・社会,beginner
morning,モ́ーニング,朝,"中英語 ""morwening""。派生: good morning(グッドモ́ーニング): おはよう / morning sickness(モ́ーニングシックネス): つわり","afternoon(アフタヌ́ーン): 午後, evening(イ́ーヴニング): 夕方",時間・数量,beginner
most,モ́ウスト,最も多くの,"古英語 ""mǣst""。派生: mostly(モ́ウストリ): 大部分は / at most(アットモ́ウスト): せいぜい","majority(マジョ́リティ): 大多数, least(リ́ースト): 最も少ない",人・社会,beginner
mother,マ́ザー,母,"古英語 ""mōdor""。派生: motherly(マ́ザリ): 母親らしい / grandmother(グラ́ンドマザー): 祖母","mom(マ́ム): ママ, parent(ペ́アレント): 親",人・社会,beginner
mountain,マ́ウンテン,山,"ラテン語 ""mons""。派生: mountainous(マ́ウンテナス): 山の多い / mountain climbing(マ́ウンテンクライミング): 登山","hill(ヒ́ル): 丘, peak(ピ́ーク): 頂上",自然・環境,beginner
mouse,Mouse,ネズミ、マウス,,,食・健康,intermediate
mouth,マ́ウス,口,"古英語 ""mūth""。派生: mouthful(マ́ウスフル): 一口 / word of mouth(ワ́ードオブマ́ウス): 口コミ","lip(リ́ップ): 唇, tongue(タ́ング): 舌",食・健康,beginner
move,ム́ーヴ,動く・引っ越す,"ラテン語 ""movere""。派生: movement(ム́ーヴメント): 動き / move in(ム́ーヴイ́ン): 引っ越してくる","shift(シ́フト): 移動する, transfer(トランスファ́ー): 移す",人・社会,beginner
movement,Movement,moveすること,,,人・社会,intermediate
movie,ム́ーヴィ,映画,moving picture の短縮。派生: movie theater(ム́ーヴィシアター): 映画館 / moviegoer(ム́ーヴィゴウアー): 映画ファン,"film(フィ́ルム): 映画, cinema(シ́ネマ): 映画館",運動・娯楽,beginner
Mr.,Mr.,〜さん（男性）,,,食・健康,intermediate
Mrs.,Mrs.,〜さん（既婚女性）,,,食・健康,intermediate
Ms.,Ms.,〜さん（女性）,,,食・健康,intermediate
Mt.,Mt.,〜山,,,食・健康,intermediate
much,マ́ッチ,多くの・非常に,"古英語 ""mycel""。派生: so much(ソ́ウマッチ): とても / too much(トゥ́ーマッチ): 多すぎる","many(メ́ニ): 多数の, very(ヴェ́リ): とても",人・社会,beginner
museum,ミュゼ́ィアム,博物館,"ギリシャ語 ""mouseion""(ミューズの神殿)。派生: art museum(ア́ートミュゼィアム): 美術館 / museum piece(ミュゼ́ィアムピース): 博物館級品","gallery(ギャ́ラリ): 美術館, exhibition(エクシビ́ション): 展示",場所・移動,beginner
music,ミュ́ージック,音楽,"ギリシャ語 ""mousike""。派生: musical(ミュ́ージカル): 音楽の / musician(ミュジ́シャン): 音楽家","song(ソ́ング): 歌, melody(メ́ロディ): 旋律",学校・学習,beginner
musical,Musical,ミュージカル、音楽の,,,食・健康,intermediate
musician,Musician,音楽家,,,食・健康,intermediate
must,マ́スト,〜しなければならない,"古英語 ""moste""。派生: must-have(マ́ストハヴ): 必需品 / must-see(マ́ストスィー): 必見の","have to(ハ́ヴトゥ): 〜しなければならない, should(シ́ュッド): 〜すべき",言語基本,beginner
my,マ́イ,私の,"古英語 ""min""。派生: mine(マ́イン): 私のもの","I(ア́イ): 私は, me(ミー): 私を",言語基本,beginner
myself,Myself,私自身,,,食・健康,intermediate
name,ネ́イム,名前・名付ける,"古英語 ""nama""。派生: namely(ネ́イムリ): すなわち / nickname(ニ́ックネイム): あだ名","call(コ́ール): 呼ぶ, title(タ́イトル): 題名",時間・数量,beginner
national,National,国家の,,,場所・移動,intermediate
natural,ナ́チュラル,自然な,"ラテン語 ""natura""(生まれ)。派生: naturally(ナ́チュラリ): 自然に / supernatural(ス́ーパーナチュラル): 超自然的な","normal(ノ́ーマル): 正常な, artificial(アーティフィ́シャル): 人工の",自然・環境,beginner
nature,ネ́イチャー,自然・性質,"ラテン語 ""natura""。派生: natural(ナ́チュラル): 自然の / by nature(バイネ́イチャー): 生まれつき","environment(インヴァ́イロメント): 環境, character(キャ́ラクター): 性格",自然・環境,beginner
near,ニ́ア,近い・〜の近くに,"古英語 ""nēar""。派生: nearby(ニ́アバイ): 近くの / nearly(ニ́アリ): ほとんど","close(クロ́ウス): 近い, far(ファ́ー): 遠い",言語基本,beginner
nearly,ニ́アリ,ほとんど,near + ly。派生: not nearly(ノットニ́アリ): 全然〜ない / nearly equal(ニ́アリイ́ークアル): ほぼ等しい,"almost(オ́ールモウスト): ほとんど, approximately(アプロ́クシメトリ): およそ",人・社会,beginner
necessary,ネ́セサリ,必要な,"ラテン語 ""necessarius""。派生: necessity(ネセ́シティ): 必要性 / necessarily(ネセ́サリリ): 必然的に","essential(エセ́ンシャル): 不可欠の, required(リクワ́イアド): 必要な",人・社会,intermediate
neck,ネ́ック,首,"古英語 ""hnecca""。派生: necklace(ネ́クレス): ネックレス / necktie(ネ́クタイ): ネクタイ","head(ヘ́ッド): 頭, shoulder(ショ́ウルダー): 肩",食・健康,beginner
need,ニ́ード,必要とする・必要,"古英語 ""nēd""。派生: needy(ニ́ーディ): 貧しい / need to(ニ́ードトゥ): 〜する必要がある","require(リクワ́イア): 必要とする, want(ウォ́ント): 欲する",人・社会,beginner
negative,Negative,否定的な,,,人・社会,intermediate
neighbor,ネ́イバー,隣人,"古英語 ""neahgebur""(近くに住む人)。派生: neighborhood(ネ́イバーフッド): 近所 / neighboring(ネ́イバーリング): 隣接した","nearby(ニ́アバイ): 近くの, community(コミュ́ニティ): 地域社会",人・社会,beginner
nervous,ナ́ーヴァス,神経質な・緊張した,"ラテン語 ""nervus""(神経)。派生: nerve(ナ́ーヴ): 神経 / nervousness(ナ́ーヴァスネス): 神経質","anxious(ア́ンクシャス): 不安な, calm(カ́ーム): 落ち着いた",食・健康,beginner
nest,Nest,巣,,,食・健康,intermediate
never,ネ́ヴァー,決して〜ない,"古英語 ""nǣfre""。派生: never mind(ネ́ヴァーマインド): 気にしないで / nevermore(ネヴァモ́ー): 二度と〜ない","ever(エ́ヴァー): いつか, always(オ́ールウェイズ): いつも",言語基本,beginner
new,ニ́ュー,新しい,"古英語 ""nīewe""。派生: newly(ニ́ューリ): 新たに / brand-new(ブラ́ンドニュー): 真新しい","fresh(フレ́ッシュ): 新鮮な, old(オ́ウルド): 古い",人・社会,beginner
news,ニ́ューズ,知らせ・ニュース,"中英語 ""newes""(新しいこと)。派生: newspaper(ニ́ューズペーパー): 新聞 / newscast(ニ́ューズキャスト): ニュース放送","information(インフォメ́イション): 情報, report(リポ́ート): 報告",人・社会,beginner
newspaper,Newspaper,newspapする人,,,人・社会,intermediate
next,ネ́クスト,次の・隣の,"古英語 ""nēhst""(最も近い)。派生: next to(ネ́クストトゥ): 〜の隣に / next door(ネ́クストドア): 隣の","following(フォ́ロウイング): 次の, previous(プリ́ーヴィアス): 前の",時間・数量,beginner
nice,ナ́イス,良い・素敵な,"ラテン語 ""nescius""(無知な)→意味変化。派生: nicely(ナ́イスリ): 素敵に / niceness(ナ́イスネス): 良さ","pleasant(プレ́ザント): 快適な, kind(カ́インド): 親切な",人・社会,beginner
night,ナ́イト,夜,"古英語 ""niht""。派生: tonight(トゥナ́イト): 今夜 / nighttime(ナ́イトタイム): 夜間","evening(イ́ーヴニング): 晩, day(デ́イ): 昼",時間・数量,beginner
nine,ナ́イン,9,"古英語 ""nigon""。派生: nineteen(ナインティ́ーン): 19 / ninth(ナ́インス): 9番目","eight(エ́イト): 8, ten(テ́ン): 10、eight(エイト): 8, ten(テン): 10, ninety(ナインティ): 90",人・社会,beginner
nineteen,Nineteen,19,,,食・健康,intermediate
ninety,Ninety,90,,,食・健康,intermediate
ninth,Ninth,9番目の,,,食・健康,intermediate
no,ノ́ウ,いいえ・少しも〜ない,"古英語 ""nā""。派生: nobody(ノ́ウバディ): 誰も〜ない / no one(ノ́ウワン): 誰も〜ない","yes(イェ́ス): はい, not(ノ́ット): 〜でない",言語基本,beginner
noodle,Noodle,麺,,,食・健康,intermediate
noon,Noon,正午,,,食・健康,intermediate
north,ノ́ース,北,"古英語 ""north""。派生: northern(ノ́ーザン): 北の / North Pole(ノ́ースポウル): 北極","south(サ́ウス): 南, direction(ダイレ́クション): 方向",人・社会,beginner
nose,ノ́ウズ,鼻,"古英語 ""nosu""。派生: nosy(ノ́ウズィ): おせっかいな / nosebleed(ノ́ウズブリード): 鼻血","smell(スメ́ル): 匂いを嗅ぐ, face(フ́ェイス): 顔",食・健康,beginner
not,ナ́ット,〜でない,"古英語 ""na wiht""(何もない)の短縮形。派生: nothing(ナ́シング): 何もない / nobody(ノウバディ): 誰もいない","no(ノウ): いいえ, never(ネヴァー): 決して〜ない, none(ナン): 何もない",言語基本,beginner
note,ノ́ウト,メモ・音符,"ラテン語 ""nota""(印)。派生: notebook(ノ́ウトブック): ノート / take notes(テ́イクノウツ): メモを取る","memo(メ́モ): メモ, record(レコ́ード): 記録",科学・技術,beginner
notebook,Notebook,ノート,,,食・健康,intermediate
nothing,ナ́シング,何もない,"古英語 ""nān thing""。派生: nothing but(ナ́シングバット): 〜だけ / for nothing(フォーナ́シング): ただで","none(ナ́ン): 何も〜ない, something(サ́ムシング): 何か",時間・数量,beginner
notice,ノ́ウティス,気づく・通知,"ラテン語 ""notitia""(知識)。派生: noticeable(ノ́ウティサブル): 目立つ / notice board(ノ́ウティスボード): 掲示板","observe(オブザ́ーヴ): 観察する, announcement(アナ́ウンスメント): 発表",人・社会,beginner
novel,ノ́ヴェル,小説・新しい,"ラテン語 ""novellus""(新しい)。派生: novelist(ノ́ヴェリスト): 小説家 / novelty(ノ́ヴェルティ): 新奇さ","book(ブ́ック): 本, story(スト́ーリ): 物語",運動・娯楽,intermediate
November,ノウヴェ́ンバー,11月,"ラテン語 ""novem""(9)から。古代ローマ暦3月始まりの9番目の月。派生: in November(イン ノウヴェンバー): 11月に","October(オクト́ーバー): 10月, December(ディセ́ンバー): 12月",時間・数量,intermediate
now,ナ́ウ,今,"古英語 ""nū""。派生: nowadays(ナ́ウアデイズ): 今日では / right now(ラ́イトナウ): 今すぐ","present(プレ́ゼント): 現在, currently(カ́レントリ): 現在",時間・数量,beginner
number,ナ́ンバー,数・番号,"ラテン語 ""numerus""。派生: numerous(ニ́ューメラス): 多数の / number one(ナ́ンバーワン): ナンバーワン","figure(フ́ィガー): 数字, amount(アマ́ウント): 量",時間・数量,beginner
nurse,ナ́ース,看護師・看護する,"ラテン語 ""nutrix""(乳母)。派生: nursery(ナ́ーサリ): 保育園 / nursing(ナ́ーシング): 看護","doctor(ド́クター): 医者, care(ケ́ア): 世話",食・健康,beginner
nursery,Nursery,保育園,,,食・健康,intermediate
ocean,オ́ウシャン,海洋,"ギリシャ語 ""okeanos""。派生: oceanic(オウシャ́ニック): 海洋の / ocean liner(オ́ウシャンライナー): 定期客船","sea(スィ́ー): 海, wave(ウェ́イヴ): 波",自然・環境,beginner
o'clock,オクロ́ック,〜時,of the clock の短縮。派生: around the clock(アラ́ウンドザクロック): 24時間 / what time(ホワ́ットタイム): 何時,"time(タ́イム): 時間, hour(ア́ワー): 時",時間・数量,beginner
October,オクト́ーバー,10月,"ラテン語 ""octo""(8)から。古代ローマ暦3月始まりの8番目の月。派生: in October(イン オクトーバー): 10月に","September(セプテ́ンバー): 9月, November(ノウヴェ́ンバー): 11月",時間・数量,intermediate
of,Of,〜の,,,食・健康,intermediate
off,Off,離れて、オフ,,,食・健康,intermediate
offer,オ́ファー,提供する・申し出,"ラテン語 ""offerre""。派生: offering(オ́ファリング): 提供物 / special offer(スペ́シャルオファー): 特別提供","provide(プロヴァ́イド): 提供する, give(ギ́ヴ): 与える",人・社会,beginner
office,オ́フィス,事務所,"ラテン語 ""officium""(義務)。派生: officer(オ́フィサー): 役人 / office worker(オ́フィスワーカー): 会社員","company(カ́ンパニ): 会社, desk(デ́スク): 机",場所・移動,beginner
officer,オ́フィサー,役人・将校,"ラテン語 ""officium""。派生: official(オフィ́シャル): 公式の / police officer(ポリ́ースオフィサー): 警官","official(オフィ́シャル): 役人, soldier(ソ́ウルジャー): 兵士",人・社会,intermediate
official,オフィ́シャル,公式の・役人,"ラテン語 ""officialis""。派生: officially(オフィ́シャリ): 公式に / unofficial(アノフィ́シャル): 非公式の","formal(フォ́ーマル): 正式な, government(ガヴァ́メント): 政府",学校・学習,intermediate
often,オ́フン,しばしば,"古英語 ""oft""。派生: more often(モ́アオフン): より頻繁に / how often(ハ́ウオフン): どのくらい頻繁に","frequently(フリ́ークウェントリ): 頻繁に, seldom(セ́ルダム): めったに〜ない",言語基本,beginner
oil,オ́イル,油,"ラテン語 ""oleum""。派生: oily(オ́イリ): 油っぽい / oil painting(オ́イルペインティング): 油絵","fat(ファ́ット): 脂肪, gas(ガ́ス): ガソリン",食・健康,beginner
OK,Ok,オーケー、大丈夫,,,食・健康,intermediate
old,オ́ウルド,古い・年老いた,"古英語 ""eald""。派生: elder(エ́ルダー): 年上の / old-fashioned(オ́ウルドファッションド): 古風な","aged(エ́イジド): 年老いた, new(ニ́ュー): 新しい",時間・数量,beginner
Olympic,Olympic,オリンピックの,,,食・健康,intermediate
omelet,Omelet,オムレツ,,,食・健康,intermediate
on,On,〜の上に,,,食・健康,intermediate
once,ワ́ンス,一度・かつて,"古英語 ""ānes""(一つ)。派生: at once(アットワ́ンス): すぐに / once upon a time(ワ́ンスアポンアタ́イム): 昔々","formerly(フォ́ーマリ): 以前は, one time(ワ́ンタイム): 一度",時間・数量,beginner
one,ワ́ン,1・一つ / 1つ・1,"古英語 ""ān""。派生: anyone(エ́ニワン): 誰でも / one by one(ワ́ンバイワン): 一つずつ","single(シ́ングル): 単一の, two(トゥ́ー): 2、two(トゥー): 2, first(ファースト): 最初の, single(シングル): 単一の",言語基本,beginner
onion,Onion,タマネギ,,,食・健康,intermediate
only,オ́ウンリ,ただ〜だけ・唯一の,"古英語 ""ānlīc""。派生: if only(イフオ́ウンリ): 〜でさえあれば / the only(ジオ́ウンリ): 唯一の","just(ジャ́スト): ただ, sole(ソ́ウル): 唯一の",言語基本,beginner
open,オ́ウプン,開ける・開いた,"古英語 ""open""。派生: opening(オ́ウプニング): 開始 / open-minded(オ́ウプンマインデッド): 心の広い","close(クロ́ウズ): 閉める, shut(シャ́ット): 閉じる",人・社会,beginner
operation,Operation,operationすること,,,人・社会,intermediate
opinion,オピ́ニオン,意見,"ラテン語 ""opinio""。派生: opinionated(オピ́ニオネイテッド): 独断的な / in my opinion(インマイオピ́ニオン): 私の意見では","view(ヴ́ュー): 見解, thought(ソ́ート): 考え",人・社会,intermediate
opportunity,オポチュ́ニティ,機会,"ラテン語 ""opportunus""(都合のよい港へ)。派生: opportune(オ́ポチューン): 好都合な / opportunist(オポチュ́ニスト): 日和見主義者","chance(チャ́ンス): 機会, occasion(オケ́イジョン): 場合",人・社会,intermediate
or,オ́ー,または・さもないと,"古英語 ""oththe""。派生: or else(オ́ーエ́ルス): さもないと / or so(オ́ーソウ): およそ""","and(ア́ンド): そして, either(イ́ーザー): どちらか",言語基本,beginner
orange,オ́レンジ,オレンジ・オレンジ色,"アラビア語 ""naranj""。派生: orangeade(オレンジェ́イド): オレンジ水 / orange juice(オ́レンジジュース): オレンジジュース","fruit(フル́ート): 果物, lemon(レ́モン): レモン",自然・環境,beginner
order,オ́ーダー,注文・命令・順序,"ラテン語 ""ordo""(列)。派生: disorder(ディソ́ーダー): 無秩序 / in order to(インオ́ーダートゥ): 〜するために","command(コマ́ンド): 命令, sequence(スィ́ークウェンス): 順序",時間・数量,beginner
organize,オ́ーガナイズ,組織する・整理する,"ギリシャ語 ""organon""(道具)。派生: organization(オーガナイゼ́イション): 組織 / organizer(オ́ーガナイザー): 主催者","arrange(アレ́インジ): 配置する, structure(ストラ́クチャー): 構造化する",食・健康,intermediate
